,area_name,city_name,state_name,country_name,_geoloc,popularity,elevation_gain,difficulty_rating,visitor_usage,avg_rating,num_reviews,features,activities,units,lat,lng,summer_temp,winter_temp,annual_rain,annual_snow,Region,Park Type,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,visitor_pct_change
0,Kenai Fjords National Park,Seward,Alaska,United States,"{'lat': 60.18852, 'lng': -149.63156}",24.8931,1161.8976,5,3.0,5.0,423,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i,60.18852,-149.63156,19.6,-14.096,1828.43,1042.097,Alaska Region,National Park,389943,411782,115882,356601,321596,303598,346534,296697,270666,283502,281279,346852,297596,218358,27219,284604,25163,258297,244232,243719,251799,262353,25479,290673,263948,306164,274034,230657,209516,189712,10813,107041,66115,75557,59017,60428,54296,35758,30703.0,24048.0,16118.0,,,-5.303534394412577
2,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05735, 'lng': -112.14381}",37.4791,1525.8288,5,3.0,5.0,670,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",i,36.05735,-112.14381,33.1,-13.196,254.03,56.833,Intermountain  Region,National Park,4732101,4532677,2897098,5974411,6380495,6254238,5969811,5520736,4756771,4564840,4421352,4298178,4388386,4348068,4425314,4413668,4279439,4401522,4326234,4124900,4001974,4104809,4460228,4575124,4239682,4791668,4537703,4557645,4364316,4575602,4203545,3886031,3776685,3966209,3859886,3513030,3035787,2711529,2173584.0,2248082.0,2293127.0,2472270.0,2304973.0,4.399695808900568
101,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.23512, 'lng': -110.68683}",20.8545,326.7456,3,2.0,4.5,259,"['dogs-no', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,32.23512,-110.68683,40.0,-1.1,220.19,1.988,Intermountain  Region,National Park,908194,1079786,762226,1020226,957405,96476,820426,753446,673572,678261,634286,610045,717614,665234,699137,658477,619983,727208,651464,643697,615045,725874,765195,749014,71616,73941,671643,732813,768685,828267,810059,679034,702328,706191,675397,689933,613651,636711,699292.0,634688.0,566807.0,470598.0,611317.0,-15.891296979216252
161,Petrified Forest National Park,Holbrook,Arizona,United States,"{'lat': 34.93947, 'lng': -109.75639}",15.5733,32.9184,1,3.0,4.5,163,"['dogs-leash', 'kids', 'partially-paved', 'views']","['hiking', 'walking']",i,34.93947,-109.75639,35.4,-8.9,163.34,20.51,Intermountain  Region,National Park,505209,590334,384483,643588,644922,627757,643274,793225,836799,644648,664857,614054,664725,631613,543714,56359,581681,598378,580,586245,571586,583904,605192,666978,816506,823266,829495,935065,922927,936429,930031,874521,844592,824141,857031,758082,761257,736659,714761.0,708512.0,710619.0,747832.0,683121.0,-14.419803026761121
176,Hot Springs National Park,Hot Springs National Park,Arkansas,United States,"{'lat': 34.5256, 'lng': -93.03637}",12.9365,722.9856,5,2.0,4.0,103,"['dogs-leash', 'forest', 'hot-springs', 'views', 'wild-flowers']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,34.5256,-93.03637,37.3,-3.7,1277.57,9.051,Midwest  Region,National Park,2646133,2162884,1348215,1467153,1506887,1561616,1544300,1418162,1424484,1325719,1302505,1396354,1311807,1284707,1238147,1300152,1273456,1340160,1418735,1561311,1440227,1296786,1338156,1384469,1495993,1509596,1538105,1617077,1618847,1477299,1504013,1203929,1123175,1272771,1185772,1101242,1175170,1112764,1071853.0,1160008.0,1015580.0,1177911.0,1160588.0,22.34280710384838
192,Yosemite National Park,Yosemite Valley,California,United States,"{'lat': 37.73495, 'lng': -119.56619}",68.1488,667.8168,3,3.0,5.0,1869,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,37.73495,-119.56619,33.6,-7.9,682.85,216.02,Pacific West  Region,National Park,3667550,3287595,2268313,4422861,4009436,4336890,5028868,4150217,3882642,3691191,3853404,3951393,3901408,3737472,3431514,3503428,3242644,3304144,3280911,3378664,3361867,3368731,3400903,3493607,3657132,3669970,4046207,3958406,3962117,3839645,3819518,3423101,3124939,3308159,3216681,3152275,2876717,2831952,2738467.0,2457464.0,2415587.0,2516893.0,2490282.0,11.557232566663473
434,Sequoia National Park,Three Rivers,California,United States,"{'lat': 36.54685, 'lng': -118.76565}",44.1235,56.9976,3,3.0,4.5,701,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",i,36.54685,-118.76565,27.8,-11.196,355.03,280.693,Pacific West  Region,National Park,1153198,1059548,796086,1246053,1229594,1291256,1254688,1097464,1039137,909274,1106584,1006583,1002979,96517,930011,979537,954507,1004843,1000177,979297,920292,870327,838947,873229,861303,1008931,83806,844582,1034133,1066552,961095,1120278,1063538,1056020,1031129,1139389,1056527,939468,979632.0,854233.0,1020500.0,1083002.0,862397.0,8.838674604642735
524,Joshua Tree National Park,Twentynine Palms,California,United States,"{'lat': 34.00264, 'lng': -116.13594}",37.0218,325.8312,3,3.0,4.5,917,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']",['hiking'],i,34.00264,-116.13594,36.8,-2.3,125.23,8.099,Pacific West  Region,National Park,3058294,3064400,2399542,2988547,2942382,2853619,2505286,2025756,1589904,1383340,1396117,1396237,1434976,1304471,1392446,1298979,1256421,1375111,1243659,1283346,1178376,1280917,1233935,1316340,1410312,1226273,1095046,1235702,1184871,1252401,1220539,1145458,1022396,990214,955246,830085,783224,641172,663798.0,671426.0,673201.0,612966.0,545357.0,-0.19925597180524734
632,Lassen Volcanic National Park,Old Station,California,United States,"{'lat': 40.47458, 'lng': -121.5057}",32.6439,599.8464,5,3.0,5.0,614,"['dogs-no', 'forest', 'lake', 'hot-springs', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'rock-climbing', 'trail-running', 'cross-country-skiing']",i,40.47458,-121.5057,26.1,-15.3,374.89,416.094,Pacific West  Region,National Park,446291,359635,542274,517039,499435,507256,536068,468092,432977,427409,407653,351269,38457,365639,377361,395057,388741,365535,379667,404384,388149,376695,374911,353756,318049,391816,351632,351001,385489,434264,468011,463179,460917,466115,495628,472431,439723,451497,463275.0,429867.0,414859.0,415045.0,394425.0,24.09554131271984
691,Kings Canyon National Park,Hume,California,United States,"{'lat': 36.79495, 'lng': -118.58315}",31.6191,270.9672,3,3.0,5.0,315,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'horseback-riding']",i,36.79495,-118.58315,31.6,-9.3,355.03,280.693,Pacific West  Region,National Park,640986,562918,415077,63211,699023,692932,607479,468106,502268,567544,591033,56681,598205,609296,57487,580129,552766,594893,525035,555987,54542,541787,528987,559534,540212,484718,502749,832794,72593,636515,637446,1071022,1062867,1037349,1007695,1081172,1028785,874456,937262.0,765755.0,831044.0,77685.0,819065.0,13.868449756447653
752,Pinnacles National Park,Paicines,California,United States,"{'lat': 36.48145, 'lng': -121.18174}",25.0432,484.9368,5,3.0,4.5,282,"['cave', 'dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'trail-running']",i,36.48145,-121.18174,37.1,0.4,329.41,0.413,Pacific West  Region,National Park,275023,348857,16574,177224,222152,233334,215555,206533,196635,237677,224476,393219,246575,171112,166988,161019,158824,170994,157397,162791,162266,178243,16211,164854,94639,171971,164465,177527,172642,194757,191683,19261,214268,218601,212094,204705,198236,191578,166258.0,170631.0,171026.0,155205.0,163626.0,-21.16454593142749
779,Death Valley National Park,Death Valley,California,United States,"{'lat': 36.23035, 'lng': -116.7668}",23.0844,2.7432,1,3.0,4.5,259,"['dogs-no', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,36.23035,-116.7668,49.2,5.2,79.63,0.525,Pacific West  Region,National Park,1128862,1146551,820023,1740945,1678660,1294827,1296283,1154843,1101312,951972,984568,946867,984775,828574,871938,704122,74444,800113,76482,890375,897596,1014636,1179094,1227583,1177746,1188212,1189215,1109421,971487,998474,869183,743608,690965,664449,692267,665345,586668,576679,621197.0,635582.0,679992.0,630402.0,61814.0,-1.5428009744006155
858,Redwood National Park,Trinidad,California,United States,"{'lat': 41.20785, 'lng': -123.99318}",21.9301,227.9904,3,2.0,4.5,247,"['dogs-no', 'forest', 'kids', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,41.20785,-123.99318,25.3,1.4,1433.99,34.314,Pacific West  Region,National Park,4584,435879,265177,504722,482536,445,536297,527143,429166,393364,352517,380167,41882,444426,396899,385171,38378,394144,392029,408126,404789,388352,383253,369726,383188,382488,426938,552464,475033,421027,387781,36628,348458,654115,677135,610897,567849,505791,467155.0,473711.0,467126.0,549461.0,47171.0,-98.94833199121774
880,Channel Islands National Park,Ventura,California,United States,"{'lat': 34.04983, 'lng': -119.55657}",14.0568,183.7944,1,1.0,4.5,103,"['beach', 'dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,34.04983,-119.55657,29.5,8.2,290.85,0.0,Pacific West  Region,National Park,323245,319252,16729,40963,36625,383687,364807,324816,342161,212029,249594,242756,277515,348745,332177,360806,375256,434107,537716,585919,613935,520428,482571,607057,57427,488757,490715,525882,175226,184867,169181,149263,144083,152662,168592,174607,172913,164132,203411.0,205024.0,172287.0,87514.0,104574.0,1.2507360956235198
902,Rocky Mountain National Park,Estes Park,Colorado,United States,"{'lat': 40.31177, 'lng': -105.64533}",83.0341,215.7984,3,4.0,4.5,2991,"['dogs-no', 'forest', 'lake', 'kids', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'snowshoeing', 'walking', 'fly-fishing']",i,40.31177,-105.64533,24.2,-21.1,255.65,257.348,Intermountain  Region,National Park,4300424,4434848,3305199,4670053,4590493,4437215,4517585,4155916,3434751,2991141,3229617,3176941,2955821,2822325,2757390,2895383,2743676,2798368,2781899,3067256,2988475,3139685,3185392,3186323,3035422,2965354,2923755,2878169,2968450,2780342,2788868,2751781,2647323,2502915,2544211,2531864,2408234,2248854,2231448.0,2599006.0,2564116.0,2911242.0,2641937.0,-3.031084718123372
1109,Mesa Verde National Park,Mesa Verde National Park,Colorado,United States,"{'lat': 37.18421, 'lng': -108.48892}",18.1745,131.9784,3,3.0,4.5,240,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,37.18421,-108.48892,32.1,-19.3,278.39,108.675,Intermountain  Region,National Park,49979,548477,287477,556203,56342,613788,583527,547325,501563,460237,48886,572329,559712,550377,551446,541102,557248,498333,446811,43859,406385,513409,452287,635736,604556,62772,61736,663794,685031,666054,74208,678075,611375,600045,772183,728566,658888,656271,516865.0,604115.0,602968.0,588608.0,539257.0,-90.8876762380191
1126,Black Canyon of the Gunnison National Park,Montrose,Colorado,United States,"{'lat': 38.56251, 'lng': -107.74201}",16.2627,123.7488,1,1.0,4.5,173,"['dogs-no', 'forest', 'kids', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,38.56251,-107.74201,28.1,-23.396,178.65,225.372,Intermountain  Region,National Park,297257,30891,34162,432818,308962,307143,238018,209166,183045,175852,19257,168336,176344,171451,160185,219576,16045,180814,175581,167247,173687,181018,191506,200142,193451,209863,200125,221113,214194,319322,337209,316336,275323,288586,269073,285439,289117,266012,253048.0,291618.0,227428.0,266604.0,336119.0,862.2770386196628
1150,Everglades National Park,Miami,Florida,United States,"{'lat': 25.7567, 'lng': -80.76584}",13.6862,6.7056,1,3.0,4.5,150,"['ada', 'dogs-no', 'kids', 'paved', 'strollers', 'views', 'wild-flowers', 'wildlife']","['birding', 'road-biking', 'trail-running', 'walking']",i,25.7567,-80.76584,34.296,8.904,1472.13,0.0,Southeast  Region,National Park,1155193,94213,702319,1118300,597124,1018557,930907,1077427,1110901,1047116,1141906,934351,915538,900882,822118,1074764,954022,1233837,1181355,1040648,968909,1049851,99539,1073982,1118215,989532,890167,820466,886455,973706,1025686,1292014,957925,913372,1026188,787493,739072,697646,628658.0,577439.0,550168.0,564721.0,744244.0,1126.1503189581056
1174,Biscayne National Park,Miami,Florida,United States,"{'lat': 25.53849, 'lng': -80.33091}",5.8949,0.9144,1,1.0,4.0,16,"['beach', 'dogs-no', 'kids', 'paved', 'views', 'wildlife']","['birding', 'fishing', 'nature-trips', 'paddle-sports', 'road-biking', 'trail-running', 'walking', 'sea-kayaking', 'canoeing']",i,25.53849,-80.33091,32.2,12.3,1176.51,0.0,Southeast  Region,National Park,701023,705655,40277,708522,469253,446961,514709,508164,525745,486848,495613,476077,467612,437745,686062,517442,608836,563728,478304,490031,513397,489343,393151,442585,403239,392069,338603,584519,25147,1995,307512,488134,573376,589957,531036,607968,578013,460921,340567.0,369082.0,348219.0,305502.0,248071.0,-0.6564114191779269
1178,Dry Tortugas National Park,Key West,Florida,United States,"{'lat': 24.62723, 'lng': -82.87242}",5.1776,0.9144,1,3.0,4.5,10,"['beach', 'kids', 'views', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'paddle-sports', 'walking', 'canoeing']",i,24.62723,-82.87242,29.8,16.904,847.36,0.0,Southeast  Region,National Park,78488,83817,48543,792,5681,54281,73661,70862,64865,58401,6055,75171,5389,52011,63947,60895,64122,61765,67917,74741,79582,79186,83704,74186,60136,47224,35127,3287,16736,2402,21581,18231,19402,19441,16937,16315,15379,13213,119.0,11004.0,107.0,1015.0,8644.0,-6.357898755622368
1179,Indiana Dunes National Park,Chesterton,Indiana,United States,"{'lat': 41.64508, 'lng': -87.0857}",15.7128,64.9224,3,2.0,4.5,204,"['beach', 'dogs-no', 'forest', 'lake', 'kids', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running', 'cross-country-skiing']",i,41.64508,-87.0857,30.9,-14.496,945.66,84.161,Midwest  Region,National Park,2834180,3177210,2293106,2134285,1756079,2158471,1698223,1640195,1553372,1681695,1889381,1840513,2150345,1944568,1833596,1972344,1938132,2127336,1810330,1953449,1989941,1735404,1820228,1748047,2108789,1483782,1526166,1696488,1699958,1763094,1973098,2058801,1919901,1791902,1885376,1576238,1676583,1800326,1560428.0,1510630.0,1066573.0,1023436.0,1222874.0,-10.796579388834857
1195,Mammoth Cave National Park,Mammoth Cave,Kentucky,United States,"{'lat': 37.18836, 'lng': -86.101}",15.2418,169.7736,3,1.0,4.5,157,"['cave', 'dogs-leash', 'forest', 'kids', 'river', 'views']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,37.18836,-86.101,34.3,-7.6,1319.94,24.171,Southeast  Region,National Park,663147,515774,290392,55159,533206,587853,586514,566895,522628,494541,508054,483319,497225,503856,446174,487305,597934,1878006,1888267,1869137,1891307,1883580,1749268,1710983,2113992,1997658,1896829,1935709,2009935,2396234,2392858,2158195,1924538,1672840,1735610,1636340,1646673,1507939,1501450.0,1498503.0,1526676.0,1404317.0,1495787.0,28.573173521736265
1223,Acadia National Park,Bar Harbor,Maine,United States,"{'lat': 44.33153, 'lng': -68.1852}",43.9161,148.7424,5,3.0,5.0,1123,"['beach', 'dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing']",i,44.33153,-68.1852,22.9,-14.0,955.82,149.891,Northeast  Region,National Park,3970260,4069098,2669034,3437286,3537575,3509271,3303393,2811184,2563129,2254922,2431052,2374645,2504208,2227698,2075857,2202228,2083588,2051484,2207847,2431062,2558572,2516551,2469238,2602227,2594497,2760306,2704831,2845378,2710749,2656034,2382113,2475857,2339591,5440952,4502283,4288154,3929054,3745570,3734763.0,4124639.0,3572114.0,2997972.0,2779666.0,-2.428990405244602
1402,Isle Royale National Park,Mohawk,Michigan,United States,"{'lat': 47.91214, 'lng': -89.15641}",7.5075,1216.7616,5,2.0,4.0,24,"['dogs-no', 'forest', 'lake', 'river', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,47.91214,-89.15641,21.7,-19.7,516.16,148.911,Midwest  Region,National Park,25454,25844,6493,2641,25798,28196,24966,18684,1456,16274,16663,15892,15793,14653,14038,15973,1707,17398,17276,178,19463,19431,21096,23493,23932,21381,23445,2347,24843,21983,22728,22004,23495,27133,26593,3176,26122,16775,11814.0,12928.0,13238.0,14558.0,14977.0,-1.5090543259557343
1406,Voyageurs National Park,Kabetogama,Minnesota,United States,"{'lat': 48.43195, 'lng': -92.85024}",4.9529,117.9576,3,1.0,4.0,20,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'walking']",i,48.43195,-92.85024,28.9,-27.1,603.6,129.059,Midwest  Region,National Park,221434,243042,263091,232974,239656,23725,241912,238313,23916,23339,214841,177184,253891,222429,221585,22065,231875,234577,249041,234231,238227,243374,227371,228898,231958,223418,246588,210938,224181,228143,227498,221857,223554,209626,223735,201727,172137,183984,154723.0,146454.0,143724.0,25749.0,266935.0,-8.890644415368538
